FID,name,operator_t,isced_leve,Lat,Log,Remarks
1974,Manjushree Jana PRA V,government, ,27.6181177,85.2012183, 
1975,Kalika Ni Ma V,government, ,27.5985465,85.2273141, 
1976,Singha Bhirab Pra V,government, ,27.5933328,85.2161113, 
1977,Kali Devi Ma V,government, ,27.6407007,85.2075761, 
1978,Chundevi PRA V,government, ,27.5998331,85.2345568, 
1979,Vhairav Nimna Ma V,government, ,27.5547381,85.2394152, 
1980,Ajadeshwor Bal Bodh Pra V,government, ,27.5615361,85.2222072, 
1981,Batsala Devi Ma V,government, ,27.5654434,85.2019089, 
1982,Bandevi Pra V,government, ,27.5745949,85.2142934, 
1983,Ram Chandra Bhanjyang Pra V,government, ,27.5794049,85.2363163, 
1984,Navajoyti PRA v,government, ,27.5546427,85.2161816, 
1985,Jyangter Choyoling Gubmba,government, ,27.5540464,85.2406012, 
1987,Shree Panchakanya Pra Bi,government, ,27.5662471,85.4672477, 
1988,Surya jyoti Ni Ma Vi,government, ,27.5726355,85.4616422, 
1989,Lali Gurans Pra Vi,government, ,27.5892436,85.4636647, 
1990,Kushadevi Uchha Ma V,government, ,27.5900418,85.4790663, 
1991,NEPAL POLICE HIGHER SECONDARY BOARDING SCHOOL,government, ,27.6421216,85.4813264, 
1992,Surya Pra V,government, ,27.5906054,85.4166163, 
1993,Shiva Pra Vi,government, ,27.6041026,85.458047, 
1994,Bhal Chandra Ma Vi,government, ,27.5981544,85.4339162, 
1995,Jana jyoti Pra Vi,government, ,27.6069289,85.4446497, 
1996,Shanti Niketan Uchha Ma Vi,government, ,27.5995213,85.4565037, 
1997,Bhag Bhairab Pra V,government, ,27.6237852,85.4306438, 
2001,Shree Santi Devi Pra V,government, ,27.7913846,85.2169118, 
2002,Shree Okharpouwa Ma V,government, ,27.7899615,85.2654981, 
2003,Shree Mukundeshwary Ucha Ma VI,government, ,27.782352,85.223995, 
2004,Shree Bageshwori Pra V,government, ,27.7763793,85.1980303, 
2005,Shree Navshrijanshil Pra.Vi.,government, ,27.7812587,85.2070027, 
2006,Pancha Kumari Pra V, , ,27.673698,85.2968109, 
